"Rank
",Name,Market_Cap_billion_USDs),Market_Cap_billion_GBPs,Market_Cap_billion_EURs,Market_Cap_billion_INRs
"1
"," JPMorgan Chase
",432.92,346.34,322.1,26718.2
"2
"," Bank of America
",231.52,185.22,172.25,14288.14
"3
"," Industrial and Commercial Bank of China
",194.56,155.65,144.75,12007.01
"4
"," Agricultural Bank of China
",160.68,128.54,119.54,9915.84
"5
"," HDFC Bank
",157.91,126.33,117.49,9745.8
"6
"," Wells Fargo
",155.87,124.7,115.97,9619.71
"7
"," HSBC Holdings PLC
",148.9,119.12,110.78,9189.2
"8
"," Morgan Stanley
",140.83,112.66,104.77,8690.67
"9
"," China Construction Bank
",139.82,111.86,104.03,8629.29
"10
"," Bank of China
",136.81,109.45,101.79,8443.48
